altitude,device_id,error_flag,error_message,exposure_time,filename_string,friendly_name,image_id,latitude,longitude,navstatus,ping_depth,pressure_depth,recording_status,sensor_gain,sensor_temperature,sequence_name,sequence_path,shutdown_status,speed_over_ground,time_msecs,time_secs,version,write_file
0.0,REEFSCAN_02,False,No Errors,2127,20230315_010036_000_0001.jpg,,1,-9.600701666666666,143.775365,0,625,0.8737567663192749,True,18,55.2,20230315_010034_Seq03,/media/jetson/data/images/20230315_010034_Seq03,False,0.9499999999991791,0,1678842036,1.1.0,True
0.0,REEFSCAN_02,False,No Errors,2127,20230315_010036_000_0002.jpg,,2,-9.6007,143.77536333333333,0,621,0.880359947681427,True,18,55.2,20230315_010034_Seq03,/media/jetson/data/images/20230315_010034_Seq03,False,0.889999999999231,0,1678842036,1.1.0,True
0.0,REEFSCAN_02,False,No Errors,2127,20230315_010037_000_0003.jpg,,3,-9.600698333333334,143.77536333333333,0,618,0.8835945725440979,True,18,55.2,20230315_010034_Seq03,/media/jetson/data/images/20230315_010034_Seq03,False,0.9399999999991877,0,1678842037,1.1.0,True
0.0,REEFSCAN_02,False,No Errors,2127,20230315_010037_000_0004.jpg,,4,-9.600695,143.77536166666667,0,615,0.8732396364212036,True,18,55.2,20230315_010034_Seq03,/media/jetson/data/images/20230315_010034_Seq03,False,0.8999999999992223,0,1678842037,1.1.0,True
0.0,REEFSCAN_02,False,No Errors,2127,20230315_010037_000_0005.jpg,,5,-9.600693333333334,143.77536166666667,0,604,0.8663577437400818,True,18,55.2,20230315_010034_Seq03,/media/jetson/data/images/20230315_010034_Seq03,False,0.8399999999992741,0,1678842037,1.1.0,True
0.0,REEFSCAN_02,False,No Errors,2127,20230315_010038_000_0006.jpg,,6,-9.600691666666666,143.77536,0,600,0.8709836006164551,True,18,55.2,20230315_010034_Seq03,/media/jetson/data/images/20230315_010034_Seq03,False,0.889999999999231,0,1678842038,1.1.0,True
0.0,REEFSCAN_02,False,No Errors,2127,20230315_010038_000_0007.jpg,,7,-9.60069,143.77536,0,602,0.8793720602989197,True,18,55.2,20230315_010034_Seq03,/media/jetson/data/images/20230315_010034_Seq03,False,0.8599999999992569,0,1678842038,1.1.0,True
0.0,REEFSCAN_02,False,No Errors,2127,20230315_010038_000_0008.jpg,,8,-9.60069,143.77535833333334,0,602,0.8865527510643005,True,18,55.2,20230315_010034_Seq03,/media/jetson/data/images/20230315_010034_Seq03,False,0.5799999999994988,0,1678842038,1.1.0,True
0.0,REEFSCAN_02,False,No Errors,2127,20230315_010039_000_0009.jpg,,9,-9.600688333333334,143.77535833333334,0,594,0.8796716928482056,True,18,55.2,20230315_010034_Seq03,/media/jetson/data/images/20230315_010034_Seq03,False,0.46999999999959385,0,1678842039,1.1.0,True
0.0,REEFSCAN_02,False,No Errors,2472,20230315_010039_000_0010.jpg,,10,-9.600688333333334,143.77535666666665,0,593,0.8790453672409058,True,18,55.2,20230315_010034_Seq03,/media/jetson/data/images/20230315_010034_Seq03,False,0.749999999999352,0,1678842039,1.1.0,True
0.0,REEFSCAN_02,False,No Errors,2472,20230315_010039_000_0011.jpg,,11,-9.600686666666666,143.775355,0,592,0.8863979578018188,True,18,55.2,20230315_010034_Seq03,/media/jetson/data/images/20230315_010034_Seq03,False,0.8299999999992828,0,1678842039,1.1.0,True
0.0,REEFSCAN_02,False,No Errors,2472,20230315_010039_000_0012.jpg,,12,-9.600686666666666,143.775355,0,583,0.8880524039268494,True,18,55.2,20230315_010034_Seq03,/media/jetson/data/images/20230315_010034_Seq03,False,0.7799999999993261,0,1678842039,1.1.0,True
0.0,REEFSCAN_02,False,No Errors,2472,20230315_010040_000_0013.jpg,,13,-9.600685,143.77535333333333,0,582,0.892194390296936,True,18,55.2,20230315_010034_Seq03,/media/jetson/data/images/20230315_010034_Seq03,False,0.889999999999231,0,1678842040,1.1.0,True
0.0,REEFSCAN_02,False,No Errors,2472,20230315_010040_000_0014.jpg,,14,-9.600685,143.77535166666667,0,571,0.8918150067329407,True,18,55.2,20230315_010034_Seq03,/media/jetson/data/images/20230315_010034_Seq03,False,0.8599999999992569,0,1678842040,1.1.0,True
0.0,REEFSCAN_02,False,No Errors,2472,20230315_010040_000_0015.jpg,,15,-9.600683333333333,143.77535166666667,0,565,0.8962264060974121,True,18,55.2,20230315_010034_Seq03,/media/jetson/data/images/20230315_010034_Seq03,False,0.8999999999992223,0,1678842040,1.1.0,True
0.0,REEFSCAN_02,False,No Errors,2472,20230315_010041_000_0016.jpg,,16,-9.600683333333333,143.77535,0,559,0.8969355821609497,True,18,55.2,20230315_010034_Seq03,/media/jetson/data/images/20230315_010034_Seq03,False,0.8299999999992829,0,1678842041,1.1.0,True
